Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Closure_56, 1,32,32,32,32,32,15030,1,9340,27,-,1,15030,15030,6,32,32,6,15030,1,6,1,1,-,1,27,32,206,32,15030,32,6,1,9094,15030,15030,32,32,1,-,-,6,27,
Closure_57, 3,3,3,3,3,3,8649,3,11722,3,-,3,8649,8649,3,3,3,3,8649,3,3,3,3,-,3,3,3,3,3,8649,3,3,3,10000,8649,8649,3,3,3,-,-,3,3,
Closure_58, 1,1,1,1,1,1,1,1,11826,1,-,1,1,1,1,1,1,1,1,1,1,1,1,2992,1,1,1,1,1,1,1,1,1,7803,1,1,1,1,1,-,-,1,1,
Closure_59, 4762,4318,4318,4318,4318,4318,24471,4318,614,4318,-,4318,-,24471,4318,4318,4318,4318,24471,4318,4318,4318,4318,-,4318,4318,4318,4318,4318,24471,24471,4318,4318,614,24471,24471,4318,4318,4318,-,-,4318,4318,
Closure_60, 1,6,6,6,6,6,7514,1,8046,4,-,1,7514,7514,1,6,6,1,7514,1,1,1,1,16014,1,4,6,4,6,7514,6,1,1,8061,7514,7514,6,6,1,-,-,1,4,
Closure_61, 76,87,87,87,87,87,428,76,3720,82,-,76,428,428,76,87,87,76,428,76,76,76,76,426,76,79,87,112,87,428,89,76,76,3720,428,428,87,87,76,-,-,76,79,
Closure_62, 1,1,1,1,1,1,1,1,10489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,7240,1,1,1,1,1,-,-,1,1,
Closure_63, 1,1,1,1,1,1,1,1,10483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,7240,1,1,1,1,1,-,-,1,1,
Closure_64, 2332,2174,2174,2174,2174,2174,-,2174,1258,2174,-,2174,-,-,2174,2174,2174,2174,-,2174,2174,2174,2174,-,2174,2174,2174,2174,2174,-,-,2174,2174,1258,-,-,2174,2174,2174,-,-,2174,2174,
Closure_65, 1,1,1,1,1,1,1,1,11625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,6466,1,1,1,1,1,1,1,1,1,
Closure_66, 195,202,196,202,202,202,22212,121,2547,187,-,121,22212,22212,121,202,202,121,22212,121,121,121,121,-,121,181,202,181,202,22212,22191,121,121,2547,22212,22212,202,202,121,-,-,121,181,
Closure_67, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_68, 2,2,2,2,2,2,2,2,2468,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6264,2,2,2,2,2,2,2,2,2,2468,2,2,2,2,2,-,-,2,2,
Closure_69, 10,310,290,312,310,310,21115,10,3591,161,-,10,21115,21115,10,310,310,10,21115,10,10,10,10,-,10,160,311,380,312,21115,21057,10,10,3591,21115,21115,310,312,10,-,-,10,160,
Closure_70, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_71, 39,54,54,54,54,54,15523,39,8056,51,-,39,15523,15523,40,54,54,40,15523,39,40,39,39,-,39,51,54,51,54,15523,54,40,39,7953,15523,15523,54,54,39,-,-,40,51,
