Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Lang_37, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_38, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_39, 1482,-,-,-,-,-,1248,-,-,-,-,-,1248,1248,-,-,-,-,1248,-,-,-,-,629,-,-,-,-,-,1248,1722,1732,-,-,1248,1248,-,-,-,-,-,-,-,
Lang_40, 1,1,1,1,1,1,1,1,588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1454,1,1,1,1,1,1,1,1,1,173,1,1,1,1,1,-,-,1,1,
Lang_41, 5,5,5,5,5,5,2930,5,246,5,-,5,2930,2930,5,5,5,5,2930,5,-,5,5,2926,5,5,5,5,5,2930,5,5,5,239,2930,2930,5,5,5,-,-,5,5,
Lang_42, 1,1,1,1,1,1,1,1,591,1,-,1,1,1,1,1,1,1,1,1,1,1,1,5942,1,1,1,1,1,1,1,1,1,220,1,1,1,1,1,-,-,1,1,
Lang_43, 1,1,1,1,1,1,1,1,577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,101,1,1,1,1,1,1,1,1,1,
Lang_44, 5,5,5,5,5,5,5,5,513,5,-,5,5,5,5,5,5,5,5,5,5,5,5,2981,5,5,5,5,5,5,5,5,5,224,5,5,5,5,5,-,-,5,5,
Lang_45, 1,1,1,1,1,1,1,1,510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,101,1,1,1,1,1,1,1,1,1,
Lang_46, 1,1,1,1,1,1,1,1,501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3149,1,1,1,1,1,1,1,1,1,154,1,1,1,1,1,-,-,1,1,
